Investing Report Created: 2023-09-23 08:16:00 -0400
,
﻿Filter Criteria:,All Dates
,All Investing Accounts
,Any Type
,Any Status
,All Investing Accounts
,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
﻿,,"12/20/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"281.43","HD ESPP"
﻿,,"12/31/2018","Buy","Home Depot","HD","Home Depot","25.966435 shares @ 146.0470026","25.966435","3,792.32","-3,792.32","HD ESPP"
﻿,,"1/3/2019","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"296.48","HD ESPP"
﻿,,"1/17/2019","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"296.48","HD ESPP"
﻿,,"1/31/2019","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"296.48","HD ESPP"
﻿,,"2/14/2019","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"296.48","HD ESPP"
﻿,,"2/28/2019","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"296.48","HD ESPP"
﻿,,"3/2/2019","Payment/Deposit","",,"Transfer","Transfer:[USAA CLASSIC CHECKING]",,,"-135.96","HD ML Individual Account"
﻿,,"3/14/2019","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"296.48","HD ESPP"
﻿,,"3/22/2019","Add Shares","Home Depot","HD","Home Depot","42 shares @ 130.434783","42","5,478.26","0.00","HD ML Individual Account"
﻿,,"3/24/2019","Add Shares","Home Depot","HD","Home Depot","45 shares @ 130.434783","45","5,869.57","0.00","HD ML Individual Account"
﻿,,"3/25/2019","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"123.18","HD ESPP"
﻿,,"3/28/2019","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"296.48","HD ESPP"
﻿,,"3/29/2019","Reinvest Dividend","Home Depot","HD","Home Depot","0.177356 shares @ 199.09109362","0.177356","35.31","0.00","HD ESPP"
﻿,,"4/4/2019","Sell","Home Depot","HD","Home Depot","131 shares @ 200.00","-131","-26,190.38","26,190.38","HD ML Individual Account"
﻿,,"4/10/2019","Payment/Deposit","",,"Merrill Lynch Funds","Transfer:[USAA CLASSIC CHECKING]",,,"-26,190.38","HD ML Individual Account"
﻿,,"4/11/2019","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"296.48","HD ESPP"
﻿,,"4/25/2019","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"296.48","HD ESPP"
﻿,,"5/9/2019","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"300.19","HD ESPP"
﻿,,"5/23/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"303.90","HD ESPP"
﻿,,"6/6/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"303.90","HD ESPP"
﻿,,"6/12/2019","Reinvest Dividend","Home Depot","HD","Home Depot","0.162637 shares @ 218.64643347","0.162637","35.56","0.00","HD ESPP"
﻿,,"6/20/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"303.90","HD ESPP"
﻿,,"6/28/2019","Buy","Home Depot","HD","Home Depot","22.6468 shares @ 176.77508522","22.6468","4,003.39","-4,003.39","HD ESPP"
